Area_Code	Parameter_Code	Folder_Code	
VII	A	S.1	
		S.2	
		S.3	
		S.4	
		I.1	
		I.2	I.2.1.
			I.2.2.
			
		I.3	
		I.4	
		I.5	
		I.6	
		O.1	
		O.2	
	B	S.1	S.1.1
			S.1.2
			
		S.2	S.2.1.
			S.2.2.
			
		S.3	
		I.1	
		O.1	
	C	S.1	
		S.2	S.2.1.
			S.2.2.
			
		S.3	
		S.4	
		S.5.	
		S.6	
		I.1	
		I.2.	
		I.3.	
		I.4.	
		I.5.	
		I.6.	
		I.7.	
		I.8.	
		O.1	
		O.2	
	D	S.1	
		I.1	I.1.1.
			I.1.2.
			I.1.3.
			I.1.4.
			I.1.5.
			I.1.6.
			I.1.7.
			I.1.8.
			I.1.9.
			I.1.10.
			I.1.11.
			I.1.12.
			
		I.2.	
		I.3	
		I.4	
		I.5.	
		O.1	
		O.2	
	E	S.1	
		S.2.	
		S.3.	
		S.4.	
		S.5.	
		S.6.	
		S.7.	
		S.8.	
		S.9.	S.9.1
			S.9.2
			S.9.3.
			S.9.4.
			S.9.5.
			S.9.6.
			S.9.7.
			S.9.8.
			S.9.9.
			S.9.10.
			S.9.11.
			S.9.12.
			S.9.13.
			S.9.14.
			S.9.15.
			S.9.16.
			S.9.17.
			
		S.10.	
		S.11.	
		S.12.	
		S.13.	
		S.14.	
		I.1.	
		0.1.	
		0.2.	
	F	S.1	
		1.1.	
		I.2.	
		I.3.	
		O.1	
	G	S.1	
		I.1.	
		I.2.	
		O.1	
