Area_Code	Parameter_Code	Folder_Code	
VI	A	S.1	
		S.2.	
		S.3.	
		S.4.	
		S.5.	
		I.1	
		I.2.	
		I.3.	
		I.4.	
		O.1	
	B	S.1	
		S.2	
		I.1	
		I.2.	
		I.3.	
		I.4.	
		I.5.	
		I.6.	I.6.1
			I.6.2
			I.6.3
			I.6.4
			I.6.5
			
		I.7	
		I.8	
		I.9	
		I.10	
		O.1	
		O.2	
	C	S.1	
		S.2	S.2.1.
			S.2.2.
			S.2.3.
			S.2.4.
			
		I.1	
		I.2	
		I.3	I.3.1
			I.3.2
			
		O.1	
	D	S.1	
		I.1	I.1.1
			I.1.2
			I.1.3
			
		I.2	I.2.1.
			I.2.2.
			I.2.3.
			I.2.4.
			
		I.3	
		O.1	
