Area_Code	Parameter_Code	Folder_Code	
V	A	S.1	
		S.2	
		I.1	
		I.2	I.2.1.
			I.2.2.
			I.2.3.
			I.2.4.
			I.2.5.
			
		I.3.	
		I.4.	
		I.5.	
		O.1	
		O.2	
	B	S.1	
		S.2.	S.2.1.
			S.2.2.
			S.2.3.
			S.2.4.
			
		I.1	
		I.2.	
		I.3.	
		I.4.	
		O.1	
	C	S.1	
		S.2	
		I.1	
		I.2.	
		I.3.	
		I.4.	
		I.5.	
		I.6.	
		I.7.	
		I.8.	I.8.1.
			I.8.2.
			I.8.3.
			
		I.9.	
		I.10.	I.10.1
			1.10.2
			
		O.1	
	D	S.1	
		S.2.	S.2.1.
			S.2.2.
			S.2.3.
			S.2.4.
			
		I.1	
		I.2.	
		I.3.	
		I.4.	
		I.5.	I.5.1.
			I.5.2.
			I.5.3.
			I.5.4.
			I.5.5.
			
		I.6.	
		I.7.	
		I.8.	
		O.1	
		O.2	
		O.3	
