Area_Code	Parameter_Code	Folder_Code	
VIII	A	S.1	
		S.2.	
		S.3.	
		S.4.	S.4.1.
			S.4.2.
			S.4.3.
			S.4.4.
			
		S.5.	
		S.6.	
		I.1.	
		I.2.	
		I.3.	
		I.4.	
		I.5.	
		I.6.	
		0.1.	
		0.2.	
		0.3.	
		0.4.	
	B	S.1.	
		S.2.	
		S.3.	
		S.4.	
		S.5.	
		S.6.	
		S.7.	
		S.8.	
		S.9.	
		S.10.	
		S.11.	
		S.12.	
		S.13.	
		S.14.	
		I.1.	
		I.2.	
		I.3.	
		I.4.	
		I.5.	
		I.6.	
		I.7.	
		I.8.	
		I.9.	
		O.1	
	C	S.1.	
		S.2.	
		S.3.	
		S.4.	
		I.1.	
		I.2.	
		I.3.	
		O.1	
	D	S.1.	
		S.2.	
		S.3.	
		S.4.	
		S.5.	
		S.6.	
		S.7.	
		S.8.	
		I.1.	
		1.2.	
		O.1	
	E	S.1	
		S.2.	
		S.3.	
		S.4	
		S.5.	
		I.1.	I.1.1.
			I.1.2.
			I.1.3.
			I.1.4.
			I.1.5.
			I.1.6.
			
		I.2.	I.2.1.
			I.2.2.
			I.2.3.
			I.2.4.
			I.2.5.
			
		I.3.	
		I.4.	
		O.1	
	F	S.1.	
		S.2.	
		S.3.	
		S.4.	
		S.5.	
		S.6.	
		S.7.	
		S.8.	S.8.1.
			S.8.2.
			S.8.3.
			S.8.4.
			S.8.5.
			S.8.6.
			S.8.7.
			S.8.8.
			S.8.9.
			S.8.10.
			
		S.9.	S.9.1.
			S.9.2.
			S.9.3.
			S.9.4.
			S.9.5.
			
		S.10.	
		I.1.	
		I.2.	
		I.3.	
		O.1	
	G	S.1.	
		S.2.	
		S.3.	
		S.4.	
		S.5.	
		S.6.	
		S.7.	
		S.8.	
		I.1.	
		I.2.	
		O.1	
	H	S.1	
		S.2.	S.2.1.
			S.2.2.
			S.2.3.
			S.2.4.
			
		S.3.	
		I.1.	
		I.2.	
		I.3.	
		I.4.	
		I.5.	
		O.1	
		O.2	
	I	S.1	
		S.2.	S.2.1.
			S.2.2.
			S.2.3.
			S.2.4.
			S.2.5.
			S.2.6.
			
		I.1.	
		I.2.	
		I.3.	
		O.1	
	J	S.1.	
		S.2	
		S.3.	
		I.1.	
		I.2.	
		I.3.	
		I.4.	
		0.1.	
		0.2.	
