Area_Code	Parameter_Code	Folder_Code		
IX	A	S.1.		
		S.2.		
		S.3.		
		S.4.		
		S.5.		
		S.6.		
		S.7.		
		I.1.		
		I.2.		
		I.3.		
		I.4.		
		I.5.		
		I.6.		
		I.7.		
		I.8.		
		I.9.		
		I.10.		
		I.11		
		I.12.		
		O.1		
	B	S.1.		
		S.2.		
		S.3.		
		I.1.		
		I.2.		
		I.3.		
		O.1		
	C	S.1.		
		S.2.		
		I.1.		
		I.2.		
		I.3.		
		I.4.		
		I.5.		
		I.6.		
	C	I.7.	I.7.1.	
			I.7.2.	
			I.7.3.	
			I.7.4.	
			I.7.5.	I.7.5.1.
				I.7.5.2.
				I.7.5.3.
				I.7.5.4.
				
				
		O.1		
	D	S.1		
		S.2		
		S.3		
		I.1		
		O.1		
